language,tweet_count
"а Волан-де-Морт https://t.co/9AxbGvq06N\"",1
"I doubt that.\"\" #Big #CantStopWontStop https://t.co/RKWqXh8wfN\"",1
"муфтий Татарстана Камиль https://t.co/mPwE7Rx3ok\"",1
"\"\" says #ItalianChef Antonella Ricco. #ChefLife https://t.co/KPCYXFNIYV\"",1
"2016. #nude #painting #art #erotic #impressionism #artwork #Tate https://t.co/VS1RkFfQmI\"",1
"и поёт\"\" �� guess whooo? � А вот попробуйте",1
"you'll never finish.\"\" - Denzel Washington at the #ImageAwards https://t.co/bPQQeJDCT2\"",1
"Marc Chagall. https://t.co/KE7bUfUL0l\"",1
in my opinion,1
"покупать роскошные дома тяжелый труд!\"",1
"il tweet di Medici senza frontiere https://t.co/63MvhKoEMd https://t.co/UJRp9zWzR3\"",1
"and our country. The NFL has to change.\"\" https://t.co/VfzqXmri22\"",1
this is me,1
"Gucci over er booty\"\"\"",1
"we're doing nothing.\"\" https://t.co/mkusGaWczb\"",1
"and more jobs for American truckers and for American workers.\"\" https://t.co/gZe8mvpay3\"",1
"оказались юными единороссами  Даже фейк не могут сделать нормально https://t.co/WDdrCMkq76\"",1
предводитель,1
"plagued his presidency.  https://t.co/XgoXNS83eg\"",1
"задержали протестующего и передали его полиции.\"\"  Тут и добавить нечего. В лучших традициях\"",1
Bill changed a few in the cabinet,1
"I'm a people person.\"",1
"Сочи\"\" споют на фестивале \"\"Акваджаз\"\" http://t.co/x7OndAvqnK\"",1
Melbourne,1
thorax,1
or Germans how to live,1
"your career is done here.\"\" https://t.co/SoaYXvTKoo\"",1
"59 Irish companies have made new investments in this country. So we are bringing jobs and good jobs to America\"\" https://t.co/VGbtmZONNy\"",1
"nothing will change. https://t.co/5m4ZwWJBjd\"",1
"because I am gentle and humble in spirit; and you will find rest.” Matt. 11:29\"",1
"and intellectual property. The days of the U.S. being taken advantage of are over.\"\" https://t.co/Dk4h0TY8d4\"",1
"when voters may reelect. https://t.co/iqItO8OpxA\"",1
"but not for the better.\"\" @tmillennialpost #MAGA https://t.co/RswUVGSeWP https://t.co/RLL8GmjflL\"",1
"and tax cuts have just been passed.\"\" https://t.co/uKPZEEexOV\"",1
in part,1
"AND PROBAB…\"\" https://t.co/DemJoplYhp\"",1
"000 emails.\"\" #Hannity https://t.co/izm3d2VDXx\"",1
if I gotta give her up,1
"a problem.\"\"  Duke… https://t.co/LeCoAxVzkh\"",1
"those are the countries where ISIS is active now.\"",1
she & Obama slipped weapons in to enemy,1
"car on refuse la #paix. #Djihad #Sharia #MonEnfantEstChelou https://t.co/EIlPVfoNBq\"",1
"conspiracy theorist.\"\" https://t.co/W7B8JYKJvT\"",1
"disrespect the natl anthem!\"",1
"and most lethal force in the world.\"\" - General James Mattis https://t.co/lif3tWHZPi\"",1
"but Obama never intended to enforce it.  RT if you want Trump to enforce it https://t.co/NNYMgx7T1F\"",1
"\"\"punch that lil girl in her face\"\" https://t.co/KsrsGucXER https://t.co/yV2OdRIy4o\"",1
"… https://t.co/NcTXc17ThB\"",1
getting down,1
Scandinavia,1
"� https://t.co/6JT9gU6YYc\"",1
so bitterly criticised by the commentariat,1
"they got no problems with.'\"",1
the answer is clear armed security. It's the only security  solution that is proven to work,1
turn DNC into money laundromat,1
"charlesmurray… https://t.co/CxxbjF2HkA\"",1
quite frankly,1
я боюсь Шойгу,1
"когда возобновятся энергопоставки в Крым https://t.co/ki4G0lhgie\"",1
that I will never live for the sake of another man,1
"etc despite ZERO evidence? Just want to be clear. https://t.co/f9GLyk35Wp\"",1
"is the one pushing impeachment?\"\" https://t.co/Pj0tpHMdCZ\"",1
"Hillary Clinton threatened girls  @DanScavino @MayorRGiuliani https://t.co/GXnS4m3wNw https://t.co/EQJ8Thpmcg\"",1
& the Loony Liberals are mad @ Comey,1
"death to USA\"\"� https://t.co/ef8f6jWfQy\"",1
"mother fucker\"\"  #MyBestFriendsInFourWords\"",1
to hit the bottom. If you lie on the grass,1
"and Pepe\"\"  but we'll let it slide this time 👇👇 https://t.co/1mz4obHmPi https://t.co/u6QbO9cKaD\"",1
"and the vote on the UN resolution. https://t.co/qrHT2aOMGI\"",1
"Evil &amp; Despicable\"\"�� #MarchForLife https://t.co/3blERMGS0s\"",1
"huh @Nestle? https://t.co/xrOmlQ2mWs\"",1
occasionally,1
KKK,1
"then the NYT's wrote about…\"",1
"because we were dissatisfied with the prior administration.\"\" #Hannity https://t.co/TuGieDj6ui\"",1
"\"\" said Meryl Streep during term of POTUS who made nuns buy birth control.\"",1
"Trump voters???\"\" https://t.co/f42prSblFc\"",1
"\"\" now Catholics/Evangelicals! What a gem! �   https://t.co/9FrDQHGAPK\"",1
"not Steve Bannon. It is President Trump. The man who won more GOP primary votes than any primary candidate in the history of our party. ~ @kayleighmcenany https://t.co/GgXEpuAwKO\"",1
"give us money.\"\"  De… https://t.co/xp1pdkbktG\"",1
"we were not believed.\"\" #Clinton25 https://t.co/ihUSVkYvGz\"",1
"who not only helped with the trip to Haiti but also helped with a previous trip that we took.\"\" https://t.co/J8i4OiedHj\"",1
дома,1
went to the House Intelligence Committee safe vault on a Sunday afternoon to read the 4-page memo,1
"Who does Silvio use?\"",1
"and written into the soul of humankind.\"\" https://t.co/tyUZGTecDY\"",1
"\"\" in the head with a pipe. #MyUselessSuperpower\"",1
"and let us have done with you. In the… …\"",1
"irrelevance.\"",1
"take her down.\"\" #OReillyFactor https://t.co/JQ5wImZZfA\"",1
"congratulations you're going to the US.\"\" ~ President Trump  https://t.co/uCI2LY74Db\"",1
"work f… …\"",1
"you can deceive...and you still  get to skate away.\"\" https://t.co/9obbjfICZV\"",1
"and is delivering.\"\" https://t.co/l5VeHcBXeu\"",1
"I don't have the strength to leave my bed today.\"\"\"",1
"OMV http://t.co/KqKKk8fBiC #ВЭФ #EEF\"",1
time after time,1
Deep State,1
fuck it,1
"this super agent guy at the FBI... he needs to be right there answering our questions.\"\" https://t.co/6XZJEjwLJz\"",1
"\"\" you sure seem privy to and invested in some very subjective data. You sound desperate. https://t.co/MtIvjMeWbv\"",1
"2/27/16 https://t.co/nd1s8LOm4c\"",1
"Iran and the Russians has just been  uncovered in an investigative story by Politico. \"\" @nypost\"",1
religion or political party,1
"теперь будем бунтовать)))))))\"",1
"and goblins. What more could you possibly want?\"\" #western #fantasy https://t.co/XbexZ9X4eW https://t.co/b1vrCnQy1Y\"",1
"calling it social engineering of the worst kind.”\"",1
"We a… https://t.co/AryzmJ13OS\"",1
"стоит тебе задать ему вопросы'\"",1
"Cripples Blacks #tcot\"",1
"vanity candidate supreme http://t.co/LAZAUsoeyz\"",1
"and \"\"rare\"\".  But truth is",1
"\"\" one GOP strategist said http://t.co/Po2Q14wnch\"",1
"+ WILL Get Nukes #tcot\"",1
"with transgender transformations. http://t.co/FUsq6nJOHV\"",1
"\"\" you moron. @justthetruth_g @Die__Trying_\"",1
"They Want Us ALL Dead!\"",1
"Pro-Independence.\"\"\"",1
"заявил гендиректор клуба https://t.co/pGsJpo3540\"",1
"’ they go to my wedding.\"\" http://t.co/Kbmo8xLZ4p\"",1
"which did NOTHING AGAINST…\"\" — Dr. Max https://t.co/8YokEA24dJ\"",1
with advantages,1
such as Representative Paul Ryan,1
"according to your word.\"\" Psalm 119:108\"",1
"and young people\"\"\"",1
"excised and discarded.\"\"  What is Jeb?\"",1
"thinking. https://t.co/iPJTAJUqJs\"",1
возбуждает,1
"GA Sprayberry High School for HERO Lance Cpl Skip Wells.  #RIP...  \"\" http://t.co/zoOegbtDD7\"",1
"сирийцы\"\"\"",1
"сел в Москве из-за треснувшего стекла.   http://t.co/o8OjJhcaAa http://t.co/qbqezqm9zM\"",1
"legal &amp; accessible\"\". This is Abortion Extremism in the American @DNC https://t.co/JavJNeDHAc\"",1
"&amp; blue. It doesn't matter… https://t.co/SfiDrKFd7t\"",1
"how many kids have to die before the govnt wakes up?\"\"\"",1
"- рассказывают нам евроукры и либералы.  Лев Щаранский \\| Official https://t.co/Sn78IQPlir\"",1
"Trump will be President till 2024… https://t.co/byZfVgNypd\"",1
"что минус один - это два!\"\"  Ну",1
"is part of Huck's stump speech in Iowa today.\"",1
"президентом какой страны она хочет стать.\"",1
"\"\"Yeah",1
"NCAA and UFC Champion in Sports History: BROCK LESNAR!!\"\" #UFC199'\"",1
"а еще меня бесит \"\"Ленинград\"\"\"",1
"- заявил ученый Русской службе Би-би-си.\"",1
"are captives of their right wing.\"\" -- True Conservative Donald Trump",1
"on EPA's Lisa Jackson\"",1
"\"\"Паджеро Спорт\"\"\"",1
"Are Discovered   via @AllenWestRepub\"\" http://t.co/Jl32A4pZbd\"",1
right,1
"РФС честь страны НЕ интересует https://t.co/DepZuy4xK9\"",1
"excised and discarded.\"\"\"",1
"\"\"… http://t.co/ypUvXJP8dI \"\" #SportsRoadhouse\"",1
"the human race.\"\"… https://t.co/k4OHR1DKfr\"",1
"But GREAT DIVIDER #tcot\"",1
"and at their respective duty... http://t.co/NBn6FUVHQJ\"\"\"",1
Яценюк и Ко наращивают внешний долг,1
dies in El Paso,1
"как у канарейки спермы!Пора уже весь нарЯдный Совет в Киев на футбол отправить!😜'\"",1
"I hate #WhitePeople. Deal with it.\"\" @MTV @DefineAmerican @emergingUS\"",1
"or the Twitter.\"\" He quickly added.\"",1
"has \"\"done what… https://t.co/OZGB4OOSpe\"",1
"We all Bleed the same Re… https://t.co/AryzmJ13OS\"",1
"exhilarating' to find solutions.\"",1
Mary Gatter,1
"the Pew... http://t.co/m8vMKDjcGp\"",1
"and too polarizing” http://t.co/EsYvh1TVO7\"",1
not a lawyer,1
"April 2015...and uh..\"",1
"impressive record.\"\" -- Noted Rick Perry critic and Border Patrol Officer Donald Trump on Rick Perry",1
"Any F… https://t.co/mhurSgWNAT\"",1
"междометия - это к переговорам не относится\"\" http://t.co/gQ9xwRHokL\"",1
"honored with Navy ship in her name: http://t.co/zKolerz0La\"",1
"Courageous Story\"\" 👉Buy… https://t.co/vGA0kDaBUX\"",1
"her own life...and Designing Women: https://t.co/iD7KVeVpCl\"",1
"\"\" Bannon said. \"\"I want them to talk about racism every day. If the …\"",1
"that has done everything in … https://t.co/e1x14EGZgg\"",1
"ure just lucky 2 get out alive\"",1
"SHARE........… https://t.co/f3vU2uPaNW\"",1
"and Modern Democracy\"\"  #ObamaNextJob\"",1
width,1
"che bello il nuovo ruolo https://t.co/HpBWmlDOtd #serieA #roma https://t.co/S5YyfkDqSl\"",1
"&amp; violence in the strongest possible terms.\"\"   RETW…\"",1
"migranti\"\" https://t.co/LkUTD7Qfgw\"",1
Thai,1
"da qui riparto\"\" https://t.co/NxjRkr9wpF\"",1
"Hoist ‘Antifa’ Flag. This was … https://t.co/1jhxpgr1cX\"",1
SUPREME COURT,1
"ДА! ЕДА! http://t.co/0NpAC2vMSL\"",1
"and Neo-Nazis After Deadly Charlottesville Pro…\"",1
"migranti\"\" https://t.co/ZdzeV8VsCW\"",1
One Heart,1
its not me,1
"riguardato anche aziende al centro di servizi tv\"\" #ANIMALICOMENOI https://t.co/osJgUPABwt'\"",1
"&amp; good … https://t.co/4I2rgxxkYb\"",1
"and cherish each other.\"\"  Beautiful words",1
"освобожден по амнистии http://t.co/UWFWsdAkf8\"",1
"won't you tell me your name?\"\" #WeirdWalmartGreetings\"",1
"every day!\"",1
"no sleep 2nite fights when she's on deployment. Don't worry tho. She wrote it all down. #ArmyWomenProblems\"",1
"Thinks Like a Globalist: McMaster is a Globa…\"",1
"пусть нас боится весь мир и вся Европа\"\"  https://t.co/XtHFRycabF https://t.co/jiLfo1uIOk\"",1
"You Are Safe!”\"\"\"",1
"don't worry\"\"  ~ Barack https://t.co/SGzJOPdlXA\"",1
that's my bitch,1
"SHARE........… https://t.co/oMWLuDwN55\"",1
"sperimentale.\"\"\"",1
"dangerous rhetoric\"\" was exactly what was needed.   Holding … https://t.co/D2PigW0svC\"",1
"\"\"eau\"\" \"\"ecu\"\"",1
"his third interview medi… https://t.co/1zZ9z2l1ho\"",1
dog,1
"then who's flying the plane!?\"\"\"",1
"kale!!!\"\"?\"",1
"risking lives\"\"\"",1
"give us money.\"\"  De… https://t.co/acNMTBYCdw\"",1
"Going to Build Your Stupid Wall” (Video)\"\"\"",1
"10 ast.\"",1
"baby #TrumpenASong\"\"\"",1
"immer kann dabei #Merkel herauskommen.\"\" #WähleAfD #BTW17 #AfD\"",1
"It Is Taken. #Tr…\"",1
"\"\"sitting for president\"\" would be more my kind of candidacy.\"",1
"ho mal di schiena\"\" https://t.co/vIBFrNtfOx #serieA #roma https://t.co/HSFV8ihaRR\"",1
"right? https://t.co/RAVRDCBNaV re…\"",1
"we won. 11/8/2016.\"",1
"29/03/2017 dalle 18 a Spazio ELF https://t.co/T6oicWCvwd https://t.co/8M74LPRANC\"",1
"walking the dog..\"",1
"Sweet potato pie and I shut my mouth.\"\" #Fl… https://t.co/eIeyyRjVbG\"",1
"Heavy Secret Service Presence …\"",1
"and faith built this nation.\"\" https://t.co/BFtdkWgBAt\"",1
"&amp; incite …\"",1
"you'r… https://t.co/thLsjZBfR4\"",1
"then DNC would have no choice but 2 #dropHill https://t.co/8Q8hcbD4b6\"",1
"Very Good Wife. #HillaryPickUpLines https://t.co/sPy2q41ItL\"",1
"etc. I have no rational intelligent argument so 'Trump is crazy'\"\" https://t.co/djf3Gn7dcW\"",1
"what!\"\" https://t.co/1GArZBte8N\"",1
"George HW Bush signed NAFTA\"\"  Verdict: false https://t.co/FPS5vxPaqv\"",1
"Hoist ‘Antifa’ Flag. This was … https://t.co/vdNCVLzrD4\"",1
"right? https://t.co/Ugyc2nZ8WK\"\"\"",1
France,1
"pahrupapumpum\"\". https://t.co/gZ0D2xrHtv\"",1
"3 млрд? Тогда &q.. https://t.co/tzTWbf73r8\"",1
"Hoist ‘Antifa’ Flag. This was … https://t.co/9aOITukMV0\"",1
"every… https://t.co/qQKNvwrPqc\"",1
"считает Горшков https://t.co/yzIqYL4Lgw https://t.co/a9si0cs5gz\"",1
"Neo-Naz… https://t.co/2rm90dhIYe\"",1
"чтобы извиниться https://t.co/wumCUs4snG\"",1
"a Problem.\"\" on NBC” by VoteDocBryant  https://t.co/5uLj01Hvuw\"",1
"charlesmurray… https://t.co/MLk1R06OGk\"",1
"at least you ... Yeah I got nothin.\"\"\"",1
"and a thief to be president\"\" #FollowTheMoney https://t.co/UJJ7sKlb3C\"",1
"одержали 13-ю победу подряд в Единой лиге ВТБ @VTBUL https://t.co/bbMsdcyAWy https://t.co/5gZnNMaCow\"",1
"&amp; good … https://t.co/1nO97ko509\"",1
"lose the Crocs! NOW!\"\" #SuperheroWeDeserve\"",1
"which maggieNYT hasn't deleted yet.  Why is th… https://t.co/N2OG9XQm5W\"",1
"… https://t.co/iKQFYhGk0z\"",1
"charlesmurray… https://t.co/ecDvvcdMG0\"",1
"жизнь\"\": как Москва отметит Первомай https://t.co/Aq5RwHseWh https://t.co/cTiFHiibSO\"",1
"\"\" - everyone on Twitter\"",1
"& protect Hillary's irrational imm plan.\"",1
"she wants to F… https://t.co/ajJOrGllIH\"",1
"ifyanowutimean.    #HillaryPickUpLines\"",1
racism,1
"заявил Шунин https://t.co/t15AtVnH3C https://t.co/8QDMaq4jsh\"",1
and I support having to get very tough if we have to,1
"что не хотел нанести Овечкину @ovi8 травму https://t.co/x5BrZvVkdi © AFP https://t.co/HpnF4e1jTW\"",1
"we're having a slight problem.\"\" https://t.co/09yQKFasUx\"",1
ministre turc des affaires étrangères,1
"that's no problem - we're the Secret Service!\"\" #HillaryPickUpLines\"",1
"how about moving there?!?!\"\"… https://t.co/4cWqPNROlA\"",1
"they are j…\"",1
"to avoid trouble\"",1
"стало решающим и в Турине – Санту https://t.co/RiG8Uhzy0s\"",1
"you s… https://t.co/0QI5ocOtMu\"",1
say a prayer for my unit,1
"which maggieNYT hasn't deleted yet.  Why is th… https://t.co/G90mkEymMc\"",1
"он даже возмущает - Гаджиев https://t.co/GbcithQDgn https://t.co/a4gn1OZ3wt\"",1
"считает Сарсания https://t.co/I2bugxL8nI https://t.co/GSJHbU4NR2\"",1
"like sheep to the slaugh… https://t.co/iBfWB8GGHq\"",1
"or political marijuana.. nice of him to offer self as an example! https://t.co/de4ySm80zd\"",1
"Емельянов не полетели в Грозный на матч ЧР - Тарханов https://t.co/HN6ElXLT7h https://t.co/aT3xqqZ9FF\"",1
"so long?\"",1
"\"\" and \"\"take away Hillary's guns.\"\" No one cares.\"",1
"but you don't even ask with respect https://t.co/qF50WM2GA4\"",1
"no. They're trying to litera… https://t.co/BKHOAupbqu\"",1
мужчина,1
"you probably haven't heard of it.\"\"   #HipsterCrimes @midnight\"",1
"наябедничали на Овечкина в НХЛ за его желание поехать на Олимпиаду. Д.Б. https://t.co/pERbkytVBa\"",1
"передал все собранные для него деньги пострадавшим https://t.co/SsAj5zSJ7L\"",1
Be AWARE,1
"but… https://t.co/XpQUTTY3c6\"",1
"the whole alphabet scares me.\"\" https://t.co/QZNC6E3xVD\"",1
"shining like bright lights in a world full of crooked and perverse people\"\"\"",1
"on both screen\"",1
что такое политика,1
"as it looked similar. BIG MISTAKE  #ThingsDoneByMistake\"",1
"Сергей! https://t.co/fd1ahJmSGv\"",1
"всё!.'\"",1
"punk? #OneWordOffMovieQuotes @midnight\"",1
"- заявил Мединский http://t.co/coAv5c5RCb\"",1
по мнению создателей,1
"queer is an intersection of what I'm fighting…\"",1
"make me dwell in safety.\"\" Psalm… https://t.co/eehxAb2Fdn\"",1
"откровенно: https://t.co/oKJesVytgY\"",1
"опрос прервали https://t.co/5ihsYeVyRD\"",1
"loca: The Ricky Martin Story\"\" starring #ChristopherWalken'\"",1
"it's Christmas Day!\"\" Hurrah!\"",1
"но потеряли\"\" https://t.co/YjOYPgeLKp\"",1
"I BEEN on\"\" #AlreadyHome\"",1
"вернула фонду Ди Каприо $159 тысяч http://t.co/7SJASyLdAF\"",1
"DON'T BACK DOWN &amp; NEVER STOP DOING WHA… …\"",1
"но неверно: в сл.конфликта США тысячей не отделаются\"",1
while I pretend I know what I'm talking about,1
"you s… https://t.co/FKvhw3tSow\"",1
"come and arrest me.\"\" #Tu… https://t.co/JBneSpeNTu\"",1
PA,1
"соображайте быстрее.\"",1
"and Populism: The Miseducation of the Public\"\" https://t.co/yDIOWIGS9g\"",1
"спрашивай(с)\"",1
"всполошила мировую ЛГБТ-тусовку https://t.co/CWPGi77TW5 https://t.co/blBomBztcz\"",1
"and I support having to get very tough if we have to to pr… https://t.co/iHc39D4CwI\"",1
"don't threaten the…\"",1
N,1
"но пока не кричим об этом\"\"  http://t.co/rX5xdClqI9 http://t.co/dAH4uGDY1Z\"",1
"Прагу освобождали солдаты в другой форме. https://t.co/XCi4pD5E9t\"",1
"что тебя отдебатят или отдебут. https://t.co/fPvNFbLMqL\"",1
"had to deal with anything like this? #Hannity #OpeningMonologu…\"",1
памперсы,1
"и с Татьяны Ерилкиной https://t.co/5esyuf2vkq\"",1
"think Google.\"",1
"etc.\"",1
"YOU are SAFE !\"\"  #NorthKorea  ✔️Thank … https://t.co/z3HruXDPVo\"",1
"and I support having to get very tough if we have to to pr… https://t.co/Ag6eliJQfJ\"",1
"painfully)\"",1
xenophobic,1
"FIT to lead our country. Corruption is not a POTUS…\"",1
"or shielding from detection…\"",1
"Fire-spraying a… https://t.co/oSQ69ghY4B\"",1
