language,tweet_count
"achild whs parents died jst as the ArabConscience\"\"  #Aleppo https://t.co/Jq0MRSEFgk\"",1
"started it?\"",1
"5/2/17 #WhiteHouse #Congress #Senate #House\"",1
"@chrislhayes. https://t.co/YCjuCkp3fY\"",1
Abdulrizak Osman Jeyte,1
Dr. Oppenheimer dies,1
"es investigado por corrupción en Brasil https://t.co/O27xPWvx2J #Odebrecht https://t.co/DjVZZTDZNc\"",1
"5 ans de déclassement\"\"\"",1
"those days are over.\"\" ~ @krauthammer  #OreillyFactor  #AmericaIsBack #MAGA https://t.co/tH0V0H9Dnv\"",1
"DOJ) from the top down?\"\" #NH  People want CHANGE!\"",1
"fungerade då förut??? https://t.co/eB5TwNLr3y #svpol #kaos #boom\"",1
"Conservative Side (Video)\"\" https://t.co/7CwfHn7REC\"",1
"you should not be living in poverty...\"\" #Fightfor15 https://t.co/RnJkyZKni3\"",1
"& pretty much everyone else around her.  And all people can talk about is Trump? Please!\"\" -Dianu\"",1
"challenged her obvious lies...'\"",1
"and protect Hillary's irrational imm plan.\"",1
"permanent voter registration.\"",1
"But Putin Didn´t Steal The U.S. Election For Trump\"\" https://t.co/ffyLHv8YpM\"",1
"nor an American way of life...\"\" - Dwight D. Eisenhower https://t.co/oPRvlQPFes\"",1
bomb,1
"le plan Marine.\"\" https://t.co/dJD6LZQkcW\"",1
"you will be saved. Rom 10:9\"",1
"not the future\"\"  Let's spread this message! https://t.co/VANMsHH0x8\"",1
"BinLaden 9-11-2001) https://t.co/OxMsf6Rqdq\"",1
"that's what's pissing off @Jack &amp; the censorship brigade.'\"",1
Marxist propaganda at work,1
"Electoral Landslide Loss to Trump 308 VS 232 #maga #trump #hillary https://t.co/01Chx7YWCE\"",1
vindictive,1
"& collusion coming from DC. The DC elite have gotten richer while middle America suffers.\"\" https://t.co/2benECTfIW\"",1
"the black vote is still only worth 1/3!\"\"  W T F T F  #TrumpProtest https://t.co/OAfFiKk9tD\"",1
"inshallah! https://t.co/HqkdoyCN6g\"",1
Hamon-Fillon préfère s'indigner pour le banquier que pour l'artisan,1
"and other cities: \"\"We're coming for you.\"\" https://t.co/PPyN44IBKM\"",1
they have an agenda,1
"we love bombing brown people it's fun watching\"\"'\"",1
"I voted for you.\"\" Says Brady gave him permission to say so\"",1
PROPHECY,1
"you have no integrity. BILL CLINTON IS A RAPIST.\"\" https://t.co/7IHnbmKqPR\"",1
