tweet_date,tweet_count
2015-12-11,284
2015-12-12,215
2015-12-13,245
2015-12-14,385
2015-12-15,275
2015-12-16,480
2015-12-17,280
2015-12-18,248
2015-12-19,229
2015-12-20,292
2015-12-21,429
2015-12-22,275
2015-12-23,314
2015-12-24,338
2015-12-25,273
2015-12-26,185
2015-12-27,160
2015-12-28,302
2015-12-29,90
2015-12-30,78
2015-12-31,41
2016-01-01,26
2016-01-02,28
2016-01-03,70
2016-01-04,157
2016-01-05,64
2016-01-06,85
2016-01-07,114
2016-01-08,73
2016-01-09,100
2016-01-10,70
2016-01-11,100
2016-01-12,43
2016-01-13,79
2016-01-14,45
2016-01-15,78
2016-01-16,55
2016-01-17,168
2016-01-18,124
2016-01-19,75
2016-01-20,59
2016-01-21,84
2016-01-22,98
2016-01-23,54
2016-01-24,47
2016-01-25,191
2016-01-26,99
2016-01-27,52
2016-01-28,64
2016-01-29,405
2016-01-30,45
2016-01-31,17
2016-02-01,191
2016-02-02,115
2016-02-03,132
2016-02-04,90
2016-02-05,203
2016-02-06,119
2016-02-07,98
2016-02-08,179
2016-02-09,154
2016-02-10,190
2016-02-11,105
2016-02-12,42
2016-02-13,169
2016-02-14,121
2016-02-15,167
2016-02-16,71
2016-02-17,91
2016-02-18,166
2016-02-19,120
2016-02-20,95
2016-02-21,75
2016-02-22,241
2016-02-23,44
2016-02-24,69
2016-02-25,156
2016-02-26,194
2016-02-27,34
2016-02-28,24
2016-02-29,271
2016-03-01,93
2016-03-02,65
2016-03-03,52
2016-03-04,63
2016-03-05,82
2016-03-06,35
2016-03-07,121
2016-03-08,88
2016-03-09,64
2016-03-10,75
2016-03-11,77
2016-03-12,58
2016-03-13,50
2016-03-14,204
2016-03-15,114
2016-03-16,80
2016-03-17,113
2016-03-18,78
2016-03-19,44
2016-03-20,31
2016-03-21,142
2016-03-22,422
2016-03-23,61
2016-03-24,50
2016-03-25,58
2016-03-26,22
2016-03-27,39
2016-03-28,208
2016-03-29,93
2016-03-30,48
2016-03-31,125
2016-04-01,22
2016-04-02,18
2016-04-03,18
2016-04-04,125
2016-04-05,29
2016-04-06,219
2016-04-07,31
2016-04-08,24
2016-04-09,66
2016-04-10,6
2016-04-11,95
2016-04-12,13
2016-04-13,162
2016-04-14,24
2016-04-15,26
2016-04-16,34
2016-04-17,84
2016-04-18,242
2016-04-19,32
2016-04-20,208
2016-04-21,86
2016-04-22,34
2016-04-23,32
2016-04-24,15
2016-04-25,181
2016-04-26,39
2016-04-27,219
2016-04-28,50
2016-04-29,52
2016-04-30,38
2016-05-01,39
2016-05-02,95
2016-05-03,50
2016-05-04,292
2016-05-05,26
2016-05-06,29
2016-05-07,79
2016-05-08,258
2016-05-09,14
2016-05-10,38
2016-05-11,227
2016-05-12,150
2016-05-13,26
2016-05-14,24
2016-05-15,131
2016-05-16,283
2016-05-17,15
2016-05-18,139
2016-05-19,106
2016-05-20,71
2016-05-21,26
2016-05-22,53
2016-05-23,251
2016-05-24,73
2016-05-25,149
2016-05-26,24
2016-05-27,101
2016-05-28,88
2016-05-29,51
2016-05-30,231
2016-05-31,88
2016-06-01,347
2016-06-02,17
2016-06-03,93
2016-06-04,64
2016-06-05,30
2016-06-06,58
2016-06-07,83
2016-06-08,318
2016-06-09,207
2016-06-10,51
2016-06-11,38
2016-06-12,76
2016-06-13,248
2016-06-14,16
2016-06-15,335
2016-06-16,181
2016-06-17,227
2016-06-18,16
2016-06-19,261
2016-06-20,293
2016-06-21,699
2016-06-22,13
2016-06-23,396
2016-06-24,65
2016-06-25,71
2016-06-26,6
2016-06-27,218
2016-06-28,71
2016-06-29,105
2016-06-30,16
2016-07-01,10
2016-07-02,6
2016-07-03,18
2016-07-04,8
2016-07-05,6
2016-07-06,238
2016-07-07,102
2016-07-08,6
2016-07-09,6
2016-07-10,14
2016-07-11,22
2016-07-12,19
2016-07-13,23
2016-07-14,40
2016-07-15,5
2016-07-16,3
2016-07-17,10
2016-07-18,16
2016-07-19,40
2016-07-20,25
2016-07-21,326
2016-07-22,60
2016-07-23,103
2016-07-24,4
2016-07-25,125
2016-07-26,40
2016-07-27,86
2016-07-28,5
2016-07-29,109
2016-07-30,495
2016-07-31,80
2016-08-01,157
2016-08-02,28
2016-08-03,229
2016-08-04,171
2016-08-05,11
2016-08-06,14
2016-08-07,112
2016-08-08,262
2016-08-09,9
2016-08-10,345
2016-08-11,15
2016-08-12,166
2016-08-13,10
2016-08-14,7
2016-08-15,315
2016-08-16,233
2016-08-17,313
2016-08-18,51
2016-08-19,77
2016-08-20,75
2016-08-21,15
2016-08-22,153
2016-08-23,201
2016-08-24,548
2016-08-25,8
2016-08-26,18
2016-08-27,41
2016-08-28,58
2016-08-29,293
2016-08-30,19
2016-08-31,347
2016-09-01,62
2016-09-02,28
2016-09-03,17
2016-09-04,68
2016-09-05,422
2016-09-06,16
2016-09-07,86
2016-09-08,231
2016-09-09,309
2016-09-10,230
2016-09-11,199
2016-09-12,450
2016-09-13,121
2016-09-14,167
2016-09-15,86
2016-09-16,1177
2016-09-17,1961
2016-09-18,1629
2016-09-19,1297
2016-09-20,34
2016-09-21,134
2016-09-22,85
2016-09-23,673
2016-09-24,34
2016-09-25,28
2016-09-26,160
2016-09-27,181
2016-09-28,204
2016-09-29,825
2016-09-30,295
2016-10-01,14
2016-10-02,115
2016-10-03,62
2016-10-04,41
2016-10-05,135
2016-10-06,2641
2016-10-07,1606
2016-10-08,257
2016-10-09,305
2016-10-10,537
2016-10-11,340
2016-10-12,368
2016-10-13,317
2016-10-14,339
2016-10-15,285
2016-10-16,294
2016-10-17,390
2016-10-18,361
2016-10-19,646
2016-10-20,265
2016-10-21,307
2016-10-22,268
2016-10-23,241
2016-10-24,367
2016-10-25,296
2016-10-26,300
2016-10-27,303
2016-10-28,266
2016-10-29,289
2016-10-30,254
2016-10-31,257
2016-11-01,208
2016-11-02,261
2016-11-03,245
2016-11-04,188
2016-11-05,246
2016-11-06,262
2016-11-07,407
2016-11-08,612
2016-11-09,301
2016-11-10,211
2016-11-11,233
2016-11-12,184
2016-11-13,200
2016-11-14,215
2016-11-15,230
2016-11-16,595
2016-11-17,244
2016-11-18,233
2016-11-19,234
2016-11-20,72
2016-11-21,303
2016-11-22,148
2016-11-23,445
2016-11-24,454
2016-11-25,223
2016-11-26,282
2016-11-27,280
2016-11-28,703
2016-11-29,338
2016-11-30,400
2016-12-01,248
2016-12-02,406
2016-12-03,379
2016-12-04,347
2016-12-05,672
2016-12-06,402
2016-12-07,427
2016-12-08,334
2016-12-09,403
2016-12-10,396
2016-12-11,308
2016-12-12,391
2016-12-13,385
2016-12-14,697
2016-12-15,303
2016-12-16,318
2016-12-17,306
2016-12-18,367
2016-12-19,703
2016-12-20,289
2016-12-21,627
2016-12-22,434
2016-12-23,338
2016-12-24,304
2016-12-25,268
2016-12-26,458
2016-12-27,336
2016-12-28,636
2016-12-29,318
2016-12-30,336
2016-12-31,293
2017-01-01,286
2017-01-02,425
2017-01-03,329
2017-01-04,343
2017-01-05,332
2017-01-06,335
2017-01-07,330
2017-01-08,261
2017-01-09,282
2017-01-10,299
2017-01-11,384
2017-01-12,388
2017-01-13,302
2017-01-14,442
2017-01-15,256
2017-01-16,365
2017-01-17,303
2017-01-18,440
2017-01-19,340
2017-01-20,287
2017-01-21,287
2017-01-22,194
2017-01-23,410
2017-01-24,373
2017-01-25,414
2017-01-26,272
2017-01-27,270
2017-01-28,308
2017-01-29,209
2017-01-30,409
2017-01-31,261
2017-02-01,312
2017-02-02,252
2017-02-03,266
2017-02-04,289
2017-02-05,201
2017-02-06,305
2017-02-07,291
2017-02-08,599
